parameter,qoi,groups,rawSlopeMean,rawSlopeMin,rawSlopeMax,normalizedSlopeMean,normalizedSlopeMin,normalizedSlopeMax
param.physics.nu,qoi.manifest.stepsRun,2,0.0,0.0,0.0,0.0,0.0,0.0
param.physics.nu,qoi.manifest.wallSeconds,2,1.397410416666667,-2.5647764,5.359597233333334,-0.011315279003161621,-0.367084848985292,0.34445429097896874
param.physics.nu,qoi.manifest.mlups,2,4.821937746319222,-89.30051104330565,98.94438653594409,0.01441747439522062,-0.30347197460026676,0.332306923390708
param.physics.nu,qoi.manifest.totalMass,2,1.8947806286936006e-12,0.0,3.789561257387201e-12,4.6005773155932035e-17,0.0,9.201154631186407e-17
param.physics.nu,qoi.manifest.maxSpeed,2,0.15337982377479678,0.14399288698012658,0.16276676056946698,0.03997650349054629,0.03692257852011869,0.04303042846097389
param.physics.nu,qoi.manifest.tau,2,2.999999999999999,2.999999999999999,2.999999999999999,0.12280701754385963,0.12280701754385963,0.12280701754385963
param.physics.nu,qoi.manifest.warningCount,2,-33.333333333333336,-33.333333333333336,-33.333333333333336,-2.333333333333334,-2.333333333333334,-2.333333333333334
param.physics.nu,qoi.probe.point_16_16.sampleCount,2,0.0,0.0,0.0,0.0,0.0,0.0
param.physics.nu,qoi.probe.point_16_16.ux.last,2,-0.20008671697982405,-0.27663170265976444,-0.12354173129988363,-0.6135218010940037,-0.7798601095403765,-0.44718349264763074
param.physics.nu,qoi.probe.point_16_16.ux.mean,2,-0.17580387457940547,-0.26637375875439046,-0.08523399040442046,-0.6108790739364149,-0.6281599353195055,-0.5935982125533243
param.physics.nu,qoi.probe.point_16_16.ux.std,2,0.04979848190553812,0.034668950077040635,0.0649280137340356,0.5094649893384354,0.42292355234371276,0.5960064263331581
param.physics.nu,qoi.probe.point_16_16.ux.min,2,-0.21215324343930922,-0.2905914049884807,-0.13371508189013775,-0.5197860850698856,-0.5989424418711523,-0.44062972826861885
param.physics.nu,qoi.probe.point_16_16.ux.max,2,-0.06012978874633192,-0.1202088579175404,-5.07195751234484e-05,-1.3419263060587165,-1.941997449177364,-0.7418551629400693
param.physics.nu,qoi.probe.point_16_16.uy.last,2,0.03837929109241884,0.001261811283765861,0.07549677090107182,0.306538662498306,0.005864215065611603,0.6072131099310004
param.physics.nu,qoi.probe.point_16_16.uy.mean,2,0.041702957008787,0.03364443223641908,0.04976148178115491,0.48437519769124404,0.3235105210393558,0.6452398743431323
param.physics.nu,qoi.probe.point_16_16.uy.std,2,0.012884334545916138,0.005118076322243078,0.020650592769589197,0.3376157486329384,0.07228763159097305,0.6029438656749038
param.physics.nu,qoi.probe.point_16_16.uy.min,2,0.0014446205394114387,0.00010807665645417537,0.002781164422368702,1.4226110544231627,0.8986645288517747,1.9465575799945507
param.physics.nu,qoi.probe.point_16_16.uy.max,2,0.03659554163618169,0.001261811283765861,0.07192927198859753,0.2874752900327741,0.005864215065611603,0.5690863649999366
param.physics.nu,qoi.probe.point_16_16.rho.last,2,-0.0013420921956108778,-0.01387262057382562,0.011188436182603864,-3.14569417296512e-05,-0.00032374381799745924,0.00026082993453815684
param.physics.nu,qoi.probe.point_16_16.rho.mean,2,-0.0025950481487735377,-0.007096429398967263,0.0019063331014201879,-6.055776757611376e-05,-0.00016559486212014237,4.447932696791484e-05
param.physics.nu,qoi.probe.point_16_16.rho.std,2,0.009585857366041822,0.0034442956478380003,0.01572741908424564,0.7493900280545441,0.46139992616862346,1.0373801299404648
param.physics.nu,qoi.probe.point_16_16.rho.min,2,-0.012187025014981367,-0.013869387958294807,-0.01050466207166793,-0.0002845754496765393,-0.00032399234142460506,-0.00024515855792847354
param.physics.nu,qoi.probe.point_16_16.rho.max,2,0.017672417859504467,0.0005203502044655769,0.034824485514543355,0.0004117428030601472,1.214072786518805e-05,0.0008113448782551063
param.physics.nu,qoi.field.speed.cellCount,2,0.0,0.0,0.0,0.0,0.0,0.0
param.physics.nu,qoi.field.speed.rms,2,0.15227159728785866,0.13882297910432173,0.1657202154713956,0.17530248807699483,0.15317295106506065,0.19743202508892901
param.physics.nu,qoi.field.speed.sum,2,277.79931071149394,156.20352424008507,399.39509718290276,0.2963075745040812,0.25234838296720746,0.3402667660409549
param.physics.nu,qoi.field.speed.last,2,0.0,0.0,0.0,0.0,0.0,0.0
param.physics.nu,qoi.field.speed.mean,2,0.15489144646507202,0.14343757965113413,0.1663453132790099,0.2963075745040812,0.2523483829672074,0.3402667660409549
param.physics.nu,qoi.field.speed.std,2,0.07391095084186969,0.06302691927297285,0.08479498241076652,0.10694842256266127,0.08937433675512683,0.1245225083701957
param.physics.nu,qoi.field.speed.min,2,0.0,0.0,0.0,0.0,0.0,0.0
param.physics.nu,qoi.field.speed.max,2,0.15337982377479678,0.14399288698012658,0.16276676056946698,0.03997650349054629,0.03692257852011869,0.04303042846097389
param.physics.nu,qoi.field.speed.kineticEnergy,2,5.475128139664985,3.1758607985573324,7.774395480772637,0.34603563205546695,0.30233761307773066,0.3897336510332033
