timestamp,host_tag,git_commit,case,mlups
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f32-1024x1024-12t,793.173
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f64-1024x1024-12t,292.428
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f64-1024x1024-12t,633.674
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f32-128x128x128-1t,17.198
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f32-128x128x128-1t,32.200
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f64-128x128x128-1t,16.182
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f64-128x128x128-1t,27.083
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f32-128x128x128-12t,132.623
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f32-128x128x128-12t,182.594
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f64-128x128x128-12t,117.394
2026-07-06T21:21:55Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f64-128x128x128-12t,144.407
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f32-512x512-1t,39.352
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f32-512x512-1t,122.933
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f64-512x512-1t,39.245
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f64-512x512-1t,99.571
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f32-512x512-12t,270.591
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f32-512x512-12t,563.224
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f64-512x512-12t,254.469
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f64-512x512-12t,454.656
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f32-1024x1024-1t,39.081
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f32-1024x1024-1t,124.516
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f64-1024x1024-1t,39.396
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f64-1024x1024-1t,103.946
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f32-1024x1024-12t,311.191
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f32-1024x1024-12t,760.228
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-scalar-f64-1024x1024-12t,297.904
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d2q9-simd-f64-1024x1024-12t,625.363
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f32-128x128x128-1t,17.317
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f32-128x128x128-1t,32.110
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f64-128x128x128-1t,16.207
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f64-128x128x128-1t,27.032
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f32-128x128x128-12t,132.307
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f32-128x128x128-12t,183.637
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-scalar-f64-128x128x128-12t,116.510
2026-07-06T21:24:14Z,m5-max,a109ee91984fef964edf21054a078ff37dd7bf8b,d3q19-simd-f64-128x128x128-12t,144.351
